,Date,time,TP,Load,Datetime
0,2023-01-01,00:00:00,1,11.454833333333333,2023-01-01 00:00:00
1,2023-01-01,00:30:00,2,11.908333333333333,2023-01-01 00:30:00
2,2023-01-01,01:00:00,3,12.053833333333335,2023-01-01 01:00:00
3,2023-01-01,01:30:00,4,12.162833333333333,2023-01-01 01:30:00
4,2023-01-01,02:00:00,5,12.474333333333334,2023-01-01 02:00:00
5,2023-01-01,02:30:00,6,12.585500000000001,2023-01-01 02:30:00
6,2023-01-01,03:00:00,7,12.540666666666667,2023-01-01 03:00:00
7,2023-01-01,03:30:00,8,12.335,2023-01-01 03:30:00
8,2023-01-01,04:00:00,9,12.186166666666667,2023-01-01 04:00:00
9,2023-01-01,04:30:00,10,12.2475,2023-01-01 04:30:00
10,2023-01-01,05:00:00,11,11.839666666666666,2023-01-01 05:00:00
11,2023-01-01,05:30:00,12,11.4885,2023-01-01 05:30:00
12,2023-01-01,06:00:00,13,11.2505,2023-01-01 06:00:00
13,2023-01-01,06:30:00,14,10.7095,2023-01-01 06:30:00
14,2023-01-01,07:00:00,15,10.174333333333333,2023-01-01 07:00:00
15,2023-01-01,07:30:00,16,9.234333333333334,2023-01-01 07:30:00
16,2023-01-01,08:00:00,17,8.479833333333334,2023-01-01 08:00:00
17,2023-01-01,08:30:00,18,7.540166666666667,2023-01-01 08:30:00
18,2023-01-01,09:00:00,19,6.748833333333334,2023-01-01 09:00:00
19,2023-01-01,09:30:00,20,6.2032,2023-01-01 09:30:00
20,2023-01-01,10:00:00,21,6.030142857142857,2023-01-01 10:00:00
21,2023-01-01,10:30:00,22,6.576333333333333,2023-01-01 10:30:00
22,2023-01-01,11:00:00,23,7.05125,2023-01-01 11:00:00
23,2023-01-01,11:30:00,24,7.151999999999999,2023-01-01 11:30:00
24,2023-01-01,12:00:00,25,7.6088000000000005,2023-01-01 12:00:00
25,2023-01-01,12:30:00,26,7.7299999999999995,2023-01-01 12:30:00
26,2023-01-01,13:00:00,27,8.393166666666668,2023-01-01 13:00:00
27,2023-01-01,13:30:00,28,8.658666666666667,2023-01-01 13:30:00
28,2023-01-01,14:00:00,29,9.085,2023-01-01 14:00:00
29,2023-01-01,14:30:00,30,9.149,2023-01-01 14:30:00
30,2023-01-01,15:00:00,31,8.778,2023-01-01 15:00:00
31,2023-01-01,15:30:00,32,8.828000000000001,2023-01-01 15:30:00
32,2023-01-01,16:00:00,33,8.311833333333334,2023-01-01 16:00:00
33,2023-01-01,16:30:00,34,7.9816666666666665,2023-01-01 16:30:00
34,2023-01-01,17:00:00,35,6.748166666666666,2023-01-01 17:00:00
35,2023-01-01,17:30:00,36,5.489833333333333,2023-01-01 17:30:00
36,2023-01-01,18:00:00,37,4.5798000000000005,2023-01-01 18:00:00
37,2023-01-01,18:30:00,38,4.340166666666667,2023-01-01 18:30:00
38,2023-01-01,19:00:00,39,4.609333333333333,2023-01-01 19:00:00
39,2023-01-01,19:30:00,40,4.772833333333334,2023-01-01 19:30:00
40,2023-01-01,20:00:00,41,4.955166666666667,2023-01-01 20:00:00
41,2023-01-01,20:30:00,42,5.1194999999999995,2023-01-01 20:30:00
42,2023-01-01,21:00:00,43,4.9425,2023-01-01 21:00:00
43,2023-01-01,21:30:00,44,5.1295,2023-01-01 21:30:00
44,2023-01-01,22:00:00,45,6.033833333333334,2023-01-01 22:00:00
45,2023-01-01,22:30:00,46,6.977333333333333,2023-01-01 22:30:00
46,2023-01-01,23:00:00,47,8.3955,2023-01-01 23:00:00
47,2023-01-01,23:30:00,48,9.4565,2023-01-01 23:30:00
48,2023-01-02,00:00:00,1,9.981666666666667,2023-01-02 00:00:00
49,2023-01-02,00:30:00,2,10.444166666666666,2023-01-02 00:30:00
50,2023-01-02,01:00:00,3,11.106666666666667,2023-01-02 01:00:00
51,2023-01-02,01:30:00,4,10.989,2023-01-02 01:30:00
52,2023-01-02,02:00:00,5,10.965000000000002,2023-01-02 02:00:00
53,2023-01-02,02:30:00,6,11.042166666666667,2023-01-02 02:30:00
54,2023-01-02,03:00:00,7,11.148000000000001,2023-01-02 03:00:00
55,2023-01-02,03:30:00,8,11.318166666666668,2023-01-02 03:30:00
56,2023-01-02,04:00:00,9,11.640166666666667,2023-01-02 04:00:00
57,2023-01-02,04:30:00,10,11.358333333333334,2023-01-02 04:30:00
58,2023-01-02,05:00:00,11,11.475999999999999,2023-01-02 05:00:00
59,2023-01-02,05:30:00,12,11.751333333333333,2023-01-02 05:30:00
60,2023-01-02,06:00:00,13,12.660833333333334,2023-01-02 06:00:00
61,2023-01-02,06:30:00,14,12.510833333333332,2023-01-02 06:30:00
62,2023-01-02,07:00:00,15,12.865333333333334,2023-01-02 07:00:00
63,2023-01-02,07:30:00,16,12.451333333333332,2023-01-02 07:30:00
64,2023-01-02,08:00:00,17,11.664666666666667,2023-01-02 08:00:00
65,2023-01-02,08:30:00,18,10.401666666666666,2023-01-02 08:30:00
66,2023-01-02,09:00:00,19,9.324333333333334,2023-01-02 09:00:00
67,2023-01-02,09:30:00,20,9.506,2023-01-02 09:30:00
68,2023-01-02,10:00:00,21,9.3836,2023-01-02 10:00:00
