,Date,time,TP,Load,Datetime
0,2022-01-01,00:00:00,1,22.358,2022-01-01 00:00:00
1,2022-01-01,00:30:00,2,22.406166666666667,2022-01-01 00:30:00
2,2022-01-01,01:00:00,3,22.4984,2022-01-01 01:00:00
3,2022-01-01,01:30:00,4,22.384500000000003,2022-01-01 01:30:00
4,2022-01-01,02:00:00,5,22.157666666666668,2022-01-01 02:00:00
5,2022-01-01,02:30:00,6,21.812,2022-01-01 02:30:00
6,2022-01-01,03:00:00,7,21.4278,2022-01-01 03:00:00
7,2022-01-01,03:30:00,8,21.313000000000002,2022-01-01 03:30:00
8,2022-01-01,04:00:00,9,21.0,2022-01-01 04:00:00
9,2022-01-01,04:30:00,10,21.229,2022-01-01 04:30:00
10,2022-01-01,05:00:00,11,21.437,2022-01-01 05:00:00
11,2022-01-01,05:30:00,12,21.024833333333333,2022-01-01 05:30:00
12,2022-01-01,06:00:00,13,20.9908,2022-01-01 06:00:00
13,2022-01-01,06:30:00,14,20.92833333333333,2022-01-01 06:30:00
14,2022-01-01,07:00:00,15,21.218666666666667,2022-01-01 07:00:00
15,2022-01-01,07:30:00,16,21.820999999999998,2022-01-01 07:30:00
16,2022-01-01,08:00:00,17,22.653333333333332,2022-01-01 08:00:00
17,2022-01-01,08:30:00,18,23.5428,2022-01-01 08:30:00
18,2022-01-01,09:00:00,19,24.363,2022-01-01 09:00:00
19,2022-01-01,09:30:00,20,24.4875,2022-01-01 09:30:00
20,2022-01-01,10:00:00,21,24.944333333333333,2022-01-01 10:00:00
21,2022-01-01,10:30:00,22,25.614,2022-01-01 10:30:00
22,2022-01-01,11:00:00,23,25.319166666666664,2022-01-01 11:00:00
23,2022-01-01,11:30:00,24,25.456166666666665,2022-01-01 11:30:00
24,2022-01-01,12:00:00,25,26.105,2022-01-01 12:00:00
25,2022-01-01,12:30:00,26,25.433600000000002,2022-01-01 12:30:00
26,2022-01-01,13:00:00,27,26.462,2022-01-01 13:00:00
27,2022-01-01,13:30:00,28,26.2145,2022-01-01 13:30:00
28,2022-01-01,14:00:00,29,26.407,2022-01-01 14:00:00
29,2022-01-01,14:30:00,30,26.4704,2022-01-01 14:30:00
30,2022-01-01,15:00:00,31,26.329333333333334,2022-01-01 15:00:00
31,2022-01-01,15:30:00,32,26.491833333333332,2022-01-01 15:30:00
32,2022-01-01,16:00:00,33,26.443,2022-01-01 16:00:00
33,2022-01-01,16:30:00,34,26.477,2022-01-01 16:30:00
34,2022-01-01,17:00:00,35,26.432666666666666,2022-01-01 17:00:00
35,2022-01-01,17:30:00,36,25.667166666666663,2022-01-01 17:30:00
36,2022-01-01,18:00:00,37,25.455285714285715,2022-01-01 18:00:00
37,2022-01-01,18:30:00,38,25.141000000000002,2022-01-01 18:30:00
38,2022-01-01,19:00:00,39,25.014,2022-01-01 19:00:00
39,2022-01-01,19:30:00,40,24.623714285714282,2022-01-01 19:30:00
40,2022-01-01,20:00:00,41,23.982,2022-01-01 20:00:00
41,2022-01-01,20:30:00,42,23.81757142857143,2022-01-01 20:30:00
42,2022-01-01,21:00:00,43,23.927000000000003,2022-01-01 21:00:00
43,2022-01-01,21:30:00,44,23.894166666666667,2022-01-01 21:30:00
44,2022-01-01,22:00:00,45,23.828666666666667,2022-01-01 22:00:00
45,2022-01-01,22:30:00,46,22.901666666666667,2022-01-01 22:30:00
46,2022-01-01,23:00:00,47,22.671833333333336,2022-01-01 23:00:00
47,2022-01-01,23:30:00,48,22.59166666666667,2022-01-01 23:30:00
48,2022-01-02,00:00:00,1,22.179833333333335,2022-01-02 00:00:00
49,2022-01-02,00:30:00,2,21.816333333333333,2022-01-02 00:30:00
50,2022-01-02,01:00:00,3,21.666428571428572,2022-01-02 01:00:00
51,2022-01-02,01:30:00,4,21.779,2022-01-02 01:30:00
52,2022-01-02,02:00:00,5,21.7025,2022-01-02 02:00:00
53,2022-01-02,02:30:00,6,21.672571428571427,2022-01-02 02:30:00
54,2022-01-02,03:00:00,7,21.009833333333333,2022-01-02 03:00:00
55,2022-01-02,03:30:00,8,21.150333333333332,2022-01-02 03:30:00
56,2022-01-02,04:00:00,9,21.224,2022-01-02 04:00:00
57,2022-01-02,04:30:00,10,21.291666666666668,2022-01-02 04:30:00
58,2022-01-02,05:00:00,11,21.436833333333336,2022-01-02 05:00:00
59,2022-01-02,05:30:00,12,21.759333333333334,2022-01-02 05:30:00
60,2022-01-02,06:00:00,13,22.333333333333332,2022-01-02 06:00:00
61,2022-01-02,06:30:00,14,22.373833333333334,2022-01-02 06:30:00
62,2022-01-02,07:00:00,15,22.472333333333335,2022-01-02 07:00:00
63,2022-01-02,07:30:00,16,23.007333333333335,2022-01-02 07:30:00
64,2022-01-02,08:00:00,17,23.805166666666665,2022-01-02 08:00:00
65,2022-01-02,08:30:00,18,24.303833333333333,2022-01-02 08:30:00
66,2022-01-02,09:00:00,19,24.676666666666666,2022-01-02 09:00:00
67,2022-01-02,09:30:00,20,25.0595,2022-01-02 09:30:00
68,2022-01-02,10:00:00,21,25.566999999999997,2022-01-02 10:00:00
69,2022-01-02,10:30:00,22,26.2135,2022-01-02 10:30:00
70,2022-01-02,11:00:00,23,26.769000000000002,2022-01-02 11:00:00
71,2022-01-02,11:30:00,24,26.835,2022-01-02 11:30:00
72,2022-01-02,12:00:00,25,27.0905,2022-01-02 12:00:00
73,2022-01-02,12:30:00,26,27.691000000000003,2022-01-02 12:30:00
74,2022-01-02,13:00:00,27,27.480333333333334,2022-01-02 13:00:00
75,2022-01-02,13:30:00,28,27.589,2022-01-02 13:30:00
76,2022-01-02,14:00:00,29,27.21,2022-01-02 14:00:00
77,2022-01-02,14:30:00,30,27.241,2022-01-02 14:30:00
